chr1	60348388	6	80	81
chr2	60300536	61102755	80	81
chr3	63268876	122157054	80	81
chr4	62094675	186216797	80	81
chr5	75682077	249087662	80	81
chr6	59938731	325715771	80	81
chr7	77276063	386403743	80	81
chr8	56184765	464645763	80	81
chr9	58232459	521532844	80	81
chr10	46591166	580493216	80	81
chr11	46661319	627666779	80	81
chr12	50697278	674911372	80	81
chr13	54093808	726242373	80	81
chr14	53733891	781012361	80	81
chr15	47442429	835417933	80	81
chr16	58780683	883453400	80	81
chr17	53984731	942968849	80	81
chr18	49877488	997628397	80	81
chr19	50254551	1048129361	80	81
chr20	55952140	1099012101	80	81
chr21	44544065	1155663650	80	81
chr22	42261000	1200764523	80	81
chr23	46386876	1243553793	80	81
chr24	43947580	1290520512	80	81
chr25	38499472	1335017444	80	81
